Customer_ID,Street,City,State_Code,Postal_Code,Country,Seasonality_Segment,EA_Segment,Revenue_Bucket,Profit_Bucket,Market_Share_Segment,Casino_Size_Segment,Market_Potential_Segment,Churn_Segment,Competitiveness_Flag,Volume_Segment,Density_Segment,Propensity
Accoount 770,BADEN POWELLWEG 1,WILLEMSTAD,,None,CUW,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 771,"CALLE A, #909, BRISA DEL SOL",TALCAHUANO,,None,CHL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 772,"AVENIDA LARCO NO. 880, MIRAFLORES",Lima,,18,PER,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 773,"4790 S. FORT APACHE RD., STE E",LAS VEGAS,NV,89147,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 774,CALLE 90 #14-26 OFICINA 520,BOGOTA,,None,COL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 775,"MUNDIAI DIVERSIONES LTDA, CALLE 25B BIS #73-76, BARRIO MODELIA",BOGOTA,,None,COL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 776,RUTA LOS LIBERTADORES KM 53,LOS ANDES,,None,CHL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 777,"ELIGIIO AYALA NO 1144, CASI BRASIL (EDIFICIO WILSON)",ASUNCION,,None,PRY,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 778,"AV SAN LUIS 2041 4TO PSO DTO F, SAN BORJA",LIMA,,None,PER,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 779,2020 S CASINO DRIVE,LAUGHLIN,NV,890529,USA,Non Seasonal,Late Adopter,M,H,None,None,None,Minimal Change,-,Low,,M
Accoount 780,580 FORT RD,TOPPENISH,WA,98948,USA,,None,None,None,L,M,H,None,Yes,Low,,L
Accoount 781,9 LEE STREET,DEADWOOD,SD,57732,USA,None,None,None,None,None,None,None,None,Yes,Medium,High,-
Accoount 782,39015 172ND AVE SE,Auburn,WA,98092,USA,None,None,None,None,None,None,None,None,Yes,High,Low,-
Accoount 783,CORONADO LAS LAJAS CHAME,LAS LAJAS,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 784,AVENIDA BARCELO S/N,Bavaro,,23301,DOM,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 785,66 VOORSTRAAT,Philipsburg,,None,SXM,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 786,78 STATE ROUTE 115,Ocean Shores,WA,98569,USA,,None,None,None,L,M,H,None,-,Low,,L
Accoount 787,2999 Street Road,Bensalem,PA,19020,USA,Potentially Seasonal,None,M,H,M,H,VH,Minimal Change,Yes,High,Low,M
Accoount 788,"Coclé, Aguadulce, Urb. Abelardo Herrera, Calle Melchor Lasso de las Vegas, plaza Legacy",COCLE,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 789,"BOULEVARD EL DORADO, CALLE DOBLE VIA SUR Y CALLE D",Panama,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 790,"Los locales No.363 y 453  del centro comercial “MULTICENTRO”, ubicado en la avenida Balboa, corregimiento de San Francisco",Panama,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 791,120 POARCH RD,ATMORE,AL,36502,USA,,Early Adopter,L,L,None,None,None,Minimal Change,-,Low,,M
Accoount 792,562 NORTH MAIN STREET,FALLON,NV,89406,USA,,None,None,None,None,None,None,None,Yes,Low,Medium,-
Accoount 793,1 Main Street,Jean,NV,89019,USA,,None,L,H,None,None,None,Minimal Change,Yes,High,High,-
Accoount 794,100 US-95,Searchlight,NV,89046,USA,Potentially Seasonal,None,L,H,None,None,None,Minimal Change,Yes,High,High,M
Accoount 795,1404 MARTIN LUTHER KING DR,BLOOMINGTON,IL,61701,USA,,None,None,None,None,None,None,None,-,-,-,-
Accoount 796,4112 STATE ROUTE 105,TOKELAND,WA,98590,USA,Potentially Seasonal,Trend Follower,None,None,None,None,None,Minimal Change,-,Low,,L
Accoount 797,450 E WINNEMUCCA BLVD,WINNEMUCCA,NV,89445,USA,None,None,None,None,None,None,None,None,-,Low,Medium,-
Accoount 798,10890 W CHARLESTON BLVD,LAS VEGAS,NV,89135,USA,,None,L,H,None,None,None,Minimal Change,Yes,High,High,M
Accoount 799,7 COOL POND ROAD,"ST GEORGES, GE 05",,GE 05,BMU,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 800,250 W CRAIG RD,NORTH LAS VEGAS,NV,89032,USA,,None,L,H,None,None,None,None,Yes,High,High,-
Accoount 801,2920 S NELLIS BLVD,LAS VEGAS,NV,89121,USA,,None,L,H,None,None,None,None,Yes,High,High,-
Accoount 802,7200 W LAKE MEAD BLVD,LAS VEGAS,NV,89128,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 803,1 MISSION DR,WINNEBAGO,NE,68071,USA,None,None,None,None,None,None,None,None,-,Low,High,-
Accoount 804,37 Billy Folly Road,Simpson Bay,,None,SXM,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 805,37 Billy Folly Road,Simpson Bay,,Phili,SXM,,None,None,None,None,None,None,None,-,-,-,L
Accoount 806,617 MALL RING CIR STE 130,HENDERSON,NV,89014,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 807,70 FALCON RIDGE PKWY,MESQUITE,NV,89027,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 808,200 Dorado Del Mar Boulevard,Dorado,PR,00646,USA,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 809,"121 ORMOND CENTER CT
Ste. O",DESTREHAN,LA,70047,USA,,None,None,None,None,None,None,None,-,Medium,Medium,-
Accoount 810,1700 W IRVING PARK RD STE 308,CHICAGO,IL,60613,USA,,None,None,None,None,None,None,None,Yes,High,Medium,-
Accoount 811,11411 SOUTHERN HIGHLANDS PKWY STE 300,LAS VEGAS,NV,89141,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 812,5857 STATE ROUTE 96,FARMINGTON,NY,14425,USA,None,None,None,None,None,None,None,None,-,Low,,-
Accoount 813,10 E STARR AVE,LAS VEGAS,NV,89183,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 814,5325 S DECATUR BLVD,LAS VEGAS,NV,89118,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 815,608 N RAINBOW BLVD,LAS VEGAS,NV,89107,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 816,75 BUCHANAN BLVD,CORBIN,KY,40701,USA,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 817,81 OCEAN BLVD,HAMPTON,NH,03842,USA,None,None,None,None,None,None,None,None,Yes,Medium,High,-
Accoount 818,3645 SOUTH LAS VEGAS BOULEVARD,LAS VEGAS,NV,89109,USA,Highly Seasonal,,M,H,M,M,H,Minimal Change,Yes,High,High,M
Accoount 819,3084 STATE HWY. 55,CRANDON,WI,54520,USA,Potentially Seasonal,Early Adopter,L,H,L,L,M,None,-,Medium,High,L
Accoount 820,777 CASINO RD.,MAHNOMEN,MN,56557,USA,Highly Seasonal,Late Adopter,M,H,H,M,H,Minimal Change,Yes,Medium,High,M
Accoount 821,11000 BROADWAY BLVD SE,ALBUQUERQUE,NM,87105,USA,,None,M,H,M,H,VH,Minimal Change,-,High,Medium,M
Accoount 822,465 PILOT ROAD,FERNLEY,NV,89408,USA,,None,L,H,None,None,None,Minimal Change,-,Medium,Medium,M
Accoount 823,3355 LAS VEGAS BLVD S,LAS VEGAS,NV,89109,USA,Potentially Seasonal,Late Adopter,M,H,None,None,None,Minimal Change,Yes,High,High,H
Accoount 824,680 WENDOVER BLVD.,WEST WENDOVER,NV,89883,USA,Potentially Seasonal,Late Adopter,L,H,M,M,H,None,-,High,High,M
Accoount 825,"27903 HIGHWAY 12,, 2 MILES WEST OF MOBRIDGE",MOBRIDGE,SD,57601,USA,,None,None,None,M,L,M,None,-,Low,,-
Accoount 826,16415 SIOUX CONIFER ROAD,WATERTOWN,SD,57201,USA,Non Seasonal,Early Adopter,L,H,H,L,L,Minimal Change,-,Low,,M
Accoount 827,12222 NEW YORK RANCH RD.,JACKSON,CA,95642,USA,Highly Seasonal,Trend Follower,H,H,M,M,H,Minimal Change,Yes,Medium,,M
Accoount 828,14455 HIGHWAY 16,BROOKS,CA,95606,USA,Non Seasonal,Early Adopter,H,H,M,H,VH,Minimal Change,Yes,High,High,H
Accoount 829,6800 Y FRONTAGE ROAD NW,CASS LAKE,MN,56633,USA,Potentially Seasonal,None,L,H,M,M,H,Minimal Change,-,Low,High,M
Accoount 830,4400 S. HIGHWAY 373,AMARGOSA VALLEY,NV,89020,USA,Potentially Seasonal,None,L,H,H,L,L,Minimal Change,-,Low,Medium,M
Accoount 831,13101 S. VIRGINIA STREET,RENO,NV,89511,USA,Potentially Seasonal,Late Adopter,L,H,M,L,M,Minimal Change,Yes,High,High,M
Accoount 832,1450 JACKPOT BLVD,ROBINSONVILLE,MS,38664,USA,Highly Seasonal,,L,H,H,M,H,Minimal Change,Yes,High,Low,M
Accoount 833,5616 PRAIRIES EDGE LANE,GRANITE FALLS,MN,56241,USA,,None,L,H,M,M,H,Minimal Change,Yes,Low,,M
Accoount 834,105 ACRE TRAIL,MARQUETTE,MI,49855,USA,Potentially Seasonal,,M,H,M,L,M,Minimal Change,-,Low,,M
Accoount 835,5195 LAS VEGAS BLVD. SOUTH,LAS VEGAS,NV,89119,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 836,9777 LAS VEGAS BLVD. SOUTH,LAS VEGAS,NV,89183,USA,Potentially Seasonal,Early Adopter,H,H,L,H,VH,Minimal Change,Yes,High,High,H
Accoount 837,3184 HIGHWAY 22,RIVERSIDE,IA,52327,USA,Potentially Seasonal,,L,H,M,M,H,Minimal Change,Yes,Low,,M
Accoount 838,193 SOUTH HIGHWAY 93,WELLS,NV,89835,USA,None,None,None,None,None,None,None,None,-,High,High,-
Accoount 839,"ENTERTAINMENT, 777 W CHEROKEE STREET",CATOOSA,OK,74015,USA,,None,None,None,None,None,None,None,-,Medium,High,-
Accoount 840,5550 NW 40TH ST,COCONUT CREEK,FL,33073,USA,Non Seasonal,Early Adopter,H,H,M,H,VH,Minimal Change,Yes,High,High,H
Accoount 841,11177 EAST MICHIGAN AVENUE,BATTLE CREEK,MI,49014,USA,Highly Seasonal,Early Adopter,M,H,L,H,VH,Minimal Change,Yes,Medium,,H
Accoount 842,"777 HOLLYWOOD BOULEVARD, INTERSTATE 81 EXIT 80",GRANTVILLE,PA,17028,USA,Potentially Seasonal,,M,H,L,H,VH,Minimal Change,Yes,Medium,,H
Accoount 843,1750 PAHRUMP VALLEY BLVD,PAHRUMP,NV,89048,USA,Potentially Seasonal,Late Adopter,M,H,M,L,M,Minimal Change,-,Low,Medium,M
Accoount 844,1275 S 69 HIGHWAY,PITTSBURG,KS,66762,USA,Potentially Seasonal,Early Adopter,L,H,M,L,M,Minimal Change,-,Low,,M
Accoount 845,900 KING STREET EAST,LONDON,ON,N5W 5K3,CAN,Potentially Seasonal,,L,H,M,M,H,Minimal Change,Yes,High,High,M
Accoount 846,50 CUMBERLAND STREET SOUTH,THUNDER BAY,ON,P7B 5L4,CAN,,Late Adopter,L,H,M,L,M,Minimal Change,Yes,High,High,M
Accoount 847,1050 CARIBBEAN WAY,MIAMI,FL,33132,USA,None,None,None,None,None,None,None,None,Yes,High,High,M
Accoount 848,7665 CORPORATE CENTER DR,MIAMI,FL,33126,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 849,233 NORTH VIRGINIA STREET,RENO,NV,89501,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 850,1555 VERSATILE DR,KAMLOOPS,BC,V1S 1W7,CAN,,Early Adopter,L,H,M,L,M,None,-,Medium,High,M
Accoount 851,9000 VALLEY DR,SQUAMISH,BC,V8B 0B3,CAN,None,None,None,None,M,L,M,None,-,Medium,High,-
Accoount 852,27 SCENIC DRIVE,TRINIDAD,CA,95570,USA,Non Seasonal,,L,H,M,L,M,Minimal Change,Yes,Low,High,M
Accoount 853,1850 S. WEST STREET,PORTERVILLE,CA,93257,USA,Potentially Seasonal,,M,H,L,M,H,Minimal Change,Yes,Low,,M
Accoount 854,6350 67 ST,RED DEER,AB,T4P 3L7,CAN,Potentially Seasonal,Early Adopter,L,H,M,L,M,Encouraging,Yes,High,Medium,M
Accoount 855,888 NAKODA WAY,KANANASKIS,AB,T0L 2H0,CAN,Potentially Seasonal,None,L,H,H,L,L,Minimal Change,Yes,High,Medium,-
Accoount 856,300 Lapotac Boulevard,Edmonton,AB,T7X 3Y3,CAN,Potentially Seasonal,Early Adopter,M,H,M,M,H,Encouraging,Yes,High,Medium,M
Accoount 857,38900 WEST MACARTHUR STREET,SHAWNEE,OK,74804,USA,Highly Seasonal,Trend Follower,L,L,H,L,L,Minimal Change,Yes,Medium,Medium,L
Accoount 858,"BOX 858 FRIGATE BAY, ST. KITTS",WEST INDIES,,None,KNA,,None,None,None,None,None,None,None,-,-,-,-
Accoount 859,AVENIDA ALEMANIA N 955,TEMUCO,,None,CHL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 860,2960 NW 72ND AVE,MIAMI,FL,33122,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 861,"CALLE 50 Y 73 ESTE
SAN FRANCISCO",PANAMA CITY,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 862,"BRIDGEVIEW ENTERTAINMENT, ADRIAAN LACLE BLVD #10",ORANJESTAD AB,,None,ABW,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 863,"6975 S. DECATUR BLVD, STE 140",LAS VEGAS,NV,89118,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 864,CARRERA 51 53 123,MEDELLIN ANTIOQUIA,,50012,COL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 865,CALLE ANTEQUERA 777 DPTO 601,"SAN ISIDRO, LIMA",,27,PER,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 866,1 BLACKFIELD DR #411,TIBURON,CA,94920,USA,None,None,None,None,None,None,None,None,-,Low,,-
Accoount 867,"DORAL SAC, AV VENEZUELA 1062 URB",LIMA,,None,PER,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 868,"AC MONSENOR RODRIGUEZ, SHOPPING DEL ESTE","C. DEL ESTE, ALTA PARANA",,07000,PRY,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 869,"LA UNION RIO AZUL, OFIBODEGAS SAN ANTONIO #43",COSTA RICA CARTAGO,,None,CRI,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 870,222 VIA MARNELL WAY,LAS VEGAS,NV,89119,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 871,CALLE A NO 909,TALCAHUANO BIOBIO,,4301000,CHL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 872,2001 W AIRLINE ROAD,NORMAN,OK,73072,USA,Potentially Seasonal,None,L,L,L,L,M,Minimal Change,-,Medium,High,-
Accoount 873,1080 SOUTH NICOLET STREET,Mackinaw City,MI,49701,USA,,None,L,L,None,None,None,Minimal Change,Yes,Medium,Medium,-
Accoount 874,"CARNIVAL CORPORATION, 3655 NW 87TH AVE",MIAMI,FL,33178,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 875,4424 W. SPRING MOUNTAIN ROAD,Las Vegas,NV,89102,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 876,615 RICHMOND STREET,Chatham-Kent,ON,N7M 1R2,CAN,Highly Seasonal,None,L,H,M,L,M,Minimal Change,Yes,High,High,M
Accoount 877,2028 KELLINO STREET,Pickering,ON,L1W 3R6,CAN,Potentially Seasonal,Early Adopter,M,H,None,None,None,Minimal Change,Yes,High,High,H
Accoount 878,7777 N. HIGHWAY 81,Concho,OK,73022,USA,Highly Seasonal,Late Adopter,L,M,None,None,None,Minimal Change,-,Medium,High,L
Accoount 879,"1517 Calle 90
ofc 302",Bogotá,,110221,COL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 880,"CALLE 13, AVE CENTRAL, PLAZA UNIVERSAL, LOCAL #2",COLON,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 881,202 South Eight Tribe Trail,Miami,OK,74354,USA,Non Seasonal,Late Adopter,L,L,None,None,None,Minimal Change,-,Medium,Medium,L
Accoount 882,777 Lucky Lane,Robinsonville,MS,38664,USA,None,None,None,None,None,None,None,None,Yes,High,Low,-
Accoount 883,"3310 South McCarran Boulevard,",Reno,NV,89502,USA,,None,L,H,None,None,None,Minimal Change,Yes,High,High,M
Accoount 884,2920 E R ST,TACOMA,WA,98404,USA,,None,None,None,None,None,None,None,Yes,High,Low,-
Accoount 885,777 Margaritaville Way,Bossier City,LA,71111,USA,Potentially Seasonal,Trend Follower,M,H,M,L,M,Minimal Change,-,High,Medium,M
Accoount 886,7665 Corporate Center Drive,Miami,FL,33126,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 887,6439 N Decatur #105,North Las Vegas,NV,89131,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 888,8450 WESTCLIFF DR,LAS VEGAS,NV,89145,USA,Potentially Seasonal,None,L,H,None,None,None,Minimal Change,Yes,High,High,-
Accoount 889,5629 NASHVILLE RD,FRANKLIN,KY,42134,USA,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 890,4402 W ROOSEVELT RD,CHICAGO,IL,60624,USA,,None,None,None,None,None,None,None,Yes,High,Medium,-
Accoount 891,209 E BENNETT AVE,CRIPPLE CREEK,CO,80813,USA,None,None,None,None,None,None,None,None,-,Medium,Medium,-
Accoount 892,2910 BICENTENNIAL PKWY,HENDERSON,NV,89044,USA,,None,L,H,None,None,None,Minimal Change,Yes,High,High,M
Accoount 893,710 BARING BLVD,SPARKS,NV,89434,USA,,None,L,H,None,None,None,None,Yes,High,High,-
Accoount 894,3550 West Winnemucca Boulevard,Winnemucca,NV,89445,USA,,None,L,H,None,None,None,Minimal Change,-,Low,Medium,L
Accoount 895,4229 STUHLMAN RD,VERNON,NY,13476,USA,None,None,None,None,None,None,None,None,-,Medium,,-
Accoount 896,BREEDESTRAAT (O) Z/N,WILLEMSTAD,,None,CUW,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 897,860 E TWAIN AVE STE 131-132,LAS VEGAS,NV,89169,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 898,7700 LAS VEGAS BLVD S,LAS VEGAS,NV,89123,USA,,None,L,H,None,None,None,None,Yes,High,High,-
Accoount 899,1281 KIMMERLING RD STE A3,GARDNERVILLE,NV,89460,USA,None,None,None,None,None,None,None,None,Yes,Medium,Medium,-
Accoount 900,6176 LAS VEGAS BLVD,LAS VEGAS,NV,89119,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 901,2836 W ANN RD,NORTH LAS VEGAS,NV,89031,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 902,3428 SAINT ROSE PKWY,HENDERSON,NV,89052,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 903,6420 S HUALAPAI WAY,LAS VEGAS,NV,89148,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 904,3655 NW 87TH AVE,DORAL,FL,33178,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 905,5000 FREDERICA ST STE J-1,OWENSBORO,KY,42301,USA,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 906,411 E BENNETT AVE,CRIPPLE CREEK,CO,80813,USA,None,None,None,None,None,None,None,None,-,Medium,Medium,-
Accoount 907,2121 SOUTH CASINO DRIVE,LAUGHLIN,NV,89029,USA,Potentially Seasonal,Trend Follower,L,H,M,M,H,Minimal Change,Yes,High,High,H
Accoount 908,1505 S. PAVILION CENTER DR.,LAS VEGAS,NV,89135,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 909,1195 W. SUNSET ROAD,HENDERSON,NV,89014,USA,Potentially Seasonal,None,L,H,M,L,M,Minimal Change,Yes,High,High,M
Accoount 910,950 WEST MESQUITE BOULEVARD,MESQUITE,NV,89027,USA,Non Seasonal,Trend Follower,M,H,M,M,H,Minimal Change,Yes,High,High,H
Accoount 911,750 HOLLYWOOD DR,CHARLES TOWN,WV,25414,USA,Highly Seasonal,Late Adopter,L,H,M,H,VH,Encouraging,Yes,Medium,High,H
Accoount 912,1390 PACIFIC AVE.,WINNIPEG,MB,R3E 3R9,CAN,Potentially Seasonal,None,L,H,L,L,M,Minimal Change,Yes,Low,Medium,-
Accoount 913,1900 PACIFIC AVE,ATLANTIC CITY,NJ,08401,USA,Potentially Seasonal,Early Adopter,M,H,M,M,H,Minimal Change,-,High,Low,H
Accoount 914,360 N. MAIN ST.,TONOPAH,NV,89049,USA,None,None,None,None,L,L,M,None,-,Low,Medium,-
Accoount 915,111 MAIN STREET,BLACK HAWK,CO,80422,USA,Potentially Seasonal,Early Adopter,L,H,H,L,L,Minimal Change,Yes,High,Medium,M
Accoount 916,777 Jackpot Lane,FRIANT,CA,93626,USA,Potentially Seasonal,Late Adopter,H,H,H,H,H,Concerning,-,Medium,High,H
Accoount 917,4384 STATE ROAD 70,WEBSTER,WI,54893,USA,,None,L,H,H,L,L,Minimal Change,Yes,High,Medium,-
Accoount 918,1 BORGATA WAY,ATLANTIC CITY,NJ,08401,USA,Potentially Seasonal,Early Adopter,H,H,M,H,VH,Minimal Change,-,High,Low,H
Accoount 919,101 WENDOVER BLVD.,W. WENDOVER,NV,89883,USA,Potentially Seasonal,None,L,H,L,L,M,Minimal Change,-,High,High,-
Accoount 920,1741 N. BOULDER HWY.,HENDERSON,NV,89015,USA,,None,L,H,L,L,M,Minimal Change,Yes,High,High,-
Accoount 921,777 ISLE OF CAPRI PKWY.,LULA,MS,38644,USA,Potentially Seasonal,,L,H,M,M,H,Minimal Change,-,Low,,M
Accoount 922,3879 HIGHWAY 50 EAST,CARSON CITY,NV,89701,USA,,None,L,H,M,L,M,Minimal Change,-,Medium,Medium,-
Accoount 923,500 MAIN STREET,BANGOR,ME,04401,USA,Potentially Seasonal,Early Adopter,L,H,M,M,H,Minimal Change,-,Low,,M
Accoount 924,12510 STATE HIGHWAY 96,HOOPA,CA,95546,USA,None,None,None,None,M,L,M,None,Yes,Low,High,-
Accoount 925,1550 INGRAM BLVD,WEST MEMPHIS,AR,72301,USA,Highly Seasonal,Early Adopter,L,H,M,H,VH,Minimal Change,Yes,High,Low,M
Accoount 926,12300 South Las Vegas Boulevard,Henderson,NV,89044,USA,Potentially Seasonal,Early Adopter,M,H,M,M,H,Minimal Change,Yes,High,High,H
Accoount 927,300 CHEMIN DES PLEIADES,MONT-TREMBLANT,QC,J8E 0A7,CAN,,None,L,M,M,L,M,Minimal Change,Yes,Medium,High,-
Accoount 928,845 MAESTRO DR,RENO,NV,89511,USA,,None,None,None,M,L,M,None,Yes,High,High,-
Accoount 929,1900 BOULEVARD DES FORGES,TROIS-RIVIÈRES,QC,G8Z 0A3,CAN,,None,L,H,L,L,M,Minimal Change,Yes,Medium,High,M
Accoount 930,"1800 WASHINGTON BLVD., STE #330",BALTIMORE,MD,21230,USA,None,None,None,None,None,None,None,None,Yes,Medium,High,-
Accoount 931,2705 CENTRAL AVE,HOT SPRINGS,AR,71901,USA,Potentially Seasonal,Early Adopter,M,H,M,M,H,Minimal Change,Yes,Low,,M
Accoount 932,630 PARK COURT,ROHNERT PARK,CA,94928,USA,Non Seasonal,Trend Follower,H,H,M,H,VH,Minimal Change,-,High,High,H
Accoount 933,5600 MCKINLEY PARKWAY,HAMBURG,NY,14075,USA,None,None,None,None,None,None,None,None,-,Medium,High,-
Accoount 934,1003 US HIGHWAY 395 N,GARDNERVILLE,NV,89410,USA,None,None,None,None,L,L,M,None,Yes,Medium,Medium,-
Accoount 935,920 S BOULDER HWY,HENDERSON,NV,89015,USA,,None,L,H,None,None,None,Minimal Change,Yes,High,High,M
Accoount 936,14145 CAMPO ROAD,JAMUL,CA,91935,USA,Potentially Seasonal,Early Adopter,M,H,None,None,None,Encouraging,-,High,Medium,M
Accoount 937,1050 CARIBBEAN WAY,MIAMI,FL,33132,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 938,7665 CORPORATE CENTER DRIVE,MAIMI,FL,33126,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 939,7665 CORPORATE CENTER DR,MIAMI,FL,33126,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 940,2200 S CASINO DRIVE,LAUGHLIN,NV,89029,USA,Potentially Seasonal,None,L,H,L,L,M,Minimal Change,Yes,High,High,M
Accoount 941,350 GOLD RANCH ROAD,VERDI,NV,89439,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 942,121 W LINCOLN AVE,BRISTOW,OK,74432,USA,Highly Seasonal,Late Adopter,L,H,H,L,L,Minimal Change,-,Low,Medium,M
Accoount 943,39 DEER RUN,HOMINY,OK,74035,USA,Potentially Seasonal,Late Adopter,L,H,H,L,L,Minimal Change,-,Medium,High,M
Accoount 944,3440 W RUSSELL RD,LAS VEGAS,NV,89118,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 945,1050 CARIBBEAN WAY,MIAMI,FL,33132,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 946,PO BOX 93835,LAS VEGAS,NV,89193,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 947,4890 CHERRY CREEK ROAD,PORT ALBERNI,BC,V9Y 8E9,CAN,None,None,None,None,M,L,M,None,-,Medium,High,-
Accoount 948,2100 PACIFIC AVE,ATLANTIC CITY,NJ,08401,USA,Non Seasonal,,M,H,M,H,VH,Minimal Change,-,High,Low,M
Accoount 949,11999 CASINO CENTER DR,ELIZABETH,IN,47117,USA,,Early Adopter,L,H,M,M,H,Minimal Change,-,Medium,High,M
Accoount 950,15318 SOUTH AVENUE B,SOMERTON,AZ,85350,USA,Potentially Seasonal,,L,H,L,L,M,Minimal Change,Yes,Low,Low,L
Accoount 951,450 QUECHAN DRIVE,FORT YUMA,AZ,85365,USA,Potentially Seasonal,Late Adopter,L,H,M,L,M,Minimal Change,Yes,Low,Low,M
Accoount 952,3201 48 AVENUE,CAMROSE,AB,T4V 0K9,CAN,,None,L,H,M,L,M,Minimal Change,Yes,High,Medium,-
Accoount 953,6063 AVE ISLA VERDE,CAROLINA,PR,00979,USA,,Early Adopter,L,L,None,None,None,Minimal Change,-,-,-,M
Accoount 954,"585 CARR 104, BARRIO ALGARROBOS",MAYAGUEZ,PR,None,USA,Potentially Seasonal,None,L,L,None,None,None,Minimal Change,-,Low,,-
Accoount 955,6650 S EL CAMINO RD,LAS VEGAS,NV,89118,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 956,"CASINO METRO, 200 CONVENTION BLVD, PO BOX 363529",SAN JUAN,PR,00907,USA,,None,L,L,None,None,None,Minimal Change,-,-,-,M
Accoount 957,"GATEL LTDA, CALLE 67G NO 65A-67",BOGOTA,,None,COL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 958,"WRS INTERNATIONAL N.V., J.E. IRAUSQUIN BOULEVARD 77",NOORD,,None,ABW,,None,None,None,None,None,None,None,-,-,-,-
Accoount 959,"PH PLAZA REAL OFICINA 106, BARRIO COSTA DEL ESTE",CIUDAD DE PANAMA,,None,PAN,,None,None,None,None,None,None,None,-,-,-,-
Accoount 960,"AV ALFONSO UGARTE 1226, URB CHACRA COLORADA","LIMA, BRENA",,51,PER,None,None,None,None,None,None,None,None,-,-,-,-
